Dates,DLF.NS Y,GODREJPROP.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GODREJPROP.NS X,Effective Margin of DLF.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DLF.NS X,Effective Investment of DLF.NS Y,Multiplier X,Multiplier Y
2023-05-02,424.25,1328.75,2.0326363386515607,70.37892862787646,353.87107137212354,1.0,0.1031669787589242,1.0,2601.5,26.015,13.2875,12.7275,194.0,2.7810868954809727,72.3499755859375,278.1086895480973,1101.64990234375,-1029.2999267578125,1328.75,1272.75,1.0,3.0
2023-05-03,427.5499877929688,1328.550048828125,2.1209607409891773,73.24914111192737,354.3008466810414,,0.1449591238262834,2.0,5234.449951171875,52.34449951171875,23.89699951171875,28.4475,5.0,5.519207350902205,288.900146484375,551.9207350902204,198.900146484375,90.0,2389.699951171875,2844.75,1.0,3.0
2023-05-04,424.7999877929688,1326.050048828125,2.036831772396743,70.2191583733424,354.58082941962635,,0.1228648914710441,,,,,,,,,,,,,,,
2023-05-05,427.2000122070313,1324.199951171875,2.1008346461068728,72.29506279505841,354.90494941197284,,0.1292509157766603,,,,,,,,,,,,,,,
2023-05-08,436.3500061035156,1341.3499755859375,2.329570295679103,80.11192083875682,356.2380852647588,,0.0954951657978193,,,,,,,,,,,,,,,
2023-05-09,432.0,1325.5,2.220989322208564,76.10318612911709,355.8968138708829,,0.1072578142360535,,,,,,,,,,,,,,,
2023-05-10,434.25,1336.949951171875,2.261562337339336,77.31896251435046,356.93103748564954,,0.1173347810625587,,,,,,,,,,,,,,,
2023-05-11,432.7999877929688,1339.449951171875,2.207692932154986,75.3078284995413,357.49215929342745,,0.1131753695109027,Individual Breakup,,Lot DLF.NS Y,Lot  GODREJPROP.NS X,Total Profit,Total Trade,,,,,,,,,
2023-05-12,435.9500122070313,1338.300048828125,2.292928253600751,78.0831949717055,357.8668172353257,,0.1274691770229686,Margin of GODREJPROP.NS X,Margin of DLF.NS Y,1,1,361.2501220703125,2,,,,,,,,,
2023-05-15,468.1499938964844,1388.5,3.1414985852834385,107.34684368434006,360.8031502121443,,0.2922593934563553,1,1,,,,,,,,,,,,,
2023-05-16,471.75,1389.699951171875,3.219322445540884,110.42732184354333,361.3226781564567,,0.3676663948083172,,,,,,,,,,,,,,,
2023-05-17,469.8500061035156,1383.800048828125,3.1460398241385032,108.3739741501234,361.4760319533922,,0.3638833822399213,,,,,,,,,,,,,,,
2023-05-18,459.9500122070313,1309.1500244140625,2.939480177996626,101.5713381717747,358.3786740352565,,0.3811621997989143,,,,,,,,,,,,,,,
2023-05-19,471.8999938964844,1322.199951171875,3.232180077650298,112.43937354944036,359.460620347044,,0.4296473218068174,,,,,,,,,,,,,,,
2023-05-22,478.1499938964844,1342.4000244140625,3.3491128562428223,117.2664244559448,360.8835694405396,,0.5024582816702343,,,,,,,,,,,,,,,
2023-05-23,467.8500061035156,1345.25,3.0243507296931766,106.3915521724237,361.4584539310919,,0.3970835430065101,,,,,,,,,,,,,,,
2023-05-24,465.5,1337.9000244140625,2.941889468854576,103.94071104927848,361.5592889507215,,0.3680276924055877,,,,,,,,,,,,,,,
2023-05-25,477.25,1365.5999755859375,3.2069423946906235,113.98965612601036,363.26034387398965,,0.480199470469986,,,,,,,,,,,,,,,
2023-05-26,478.1000061035156,1372.0999755859375,3.190864666960775,114.11602488743034,363.9839812160853,,0.5206778554257505,,,,,,,,,,,,,,,
2023-05-29,482.6499938964844,1374.9000244140625,3.27837151240121,118.11730183207186,364.5326920644125,,0.5566027383944537,,,,,,,,,,,,,,,
2023-05-30,474.6000061035156,1385.949951171875,3.0133702085910707,109.18035395157916,365.4196521519365,,0.4791649847882651,,,,,,,,,,,,,,,
2023-05-31,474.8999938964844,1390.300048828125,2.9885973125015317,108.89601928676848,366.0039746097159,,0.5100179190945894,,,,,,,,,,,,,,,
2023-06-01,477.2000122070313,1402.699951171875,3.007390312060269,110.27850004439132,366.92151216264,,0.48915637121624,,,,,,,,,,,,,,,
2023-06-02,489.2999877929688,1427.449951171875,3.2726964912609087,120.90438069654186,368.3956070964269,,0.6645089825645333,,,,,,,,,,,,,,,
2023-06-05,489.25,1414.0999755859375,3.2485917669437905,121.04821685861936,368.20178314138064,,0.6559944925234424,,,,,,,,,,,,,,,
2023-06-06,494.6499938964844,1421.4000244140625,3.344222609471482,125.74258208634636,368.907411810138,,0.6539206863780771,,,,,,,,,,,,,,,
2023-06-07,495.7000122070313,1446.449951171875,3.3070162764575146,125.32264608284304,370.3773661241882,,0.6936319875782865,,,,,,,,,,,,,,,
2023-06-08,484.75,1424.699951171875,3.012239028943203,114.9159392718284,369.8340607281716,,0.5922237789065545,,,,,,,,,,,,,,,
2023-06-09,485.2000122070313,1429.9000244140625,2.989190366294656,114.76936308757335,370.4306491194579,,0.5490746500265952,,,,,,,,,,,,,,,
2023-06-12,490.6000061035156,1434.9000244140625,3.0943205298735648,119.55376806702584,371.0462380364898,,0.5826013941165216,,,,,,,,,,,,,,,
2023-06-13,503.6000061035156,1474.449951171875,3.351053527492032,130.4924350758679,373.1075710276477,,0.711782818665847,,,,,,,,,,,,,,,
2023-06-14,503.7000122070313,1506.550048828125,3.2830121606099145,128.8672247869306,374.8327874201007,,0.6762368550845237,,,,,,,,,,,,,,,
2023-06-15,490.3500061035156,1569.6500244140625,2.8535059238545144,112.5378631511456,377.8121429523701,,0.5028626829966127,,,,,,,,,,,,,,,
2023-06-16,496.0,1536.550048828125,3.005160462251401,119.15197802701437,376.8480219729856,,0.5506640898288688,,,,,,,,,,,,,,,
2023-06-19,485.3500061035156,1521.6500244140625,2.732842735646647,108.73296425441606,376.6170418490996,,0.4736590877832231,,,,,,,,,,,,,,,
2023-06-20,489.2000122070313,1526.800048828125,2.802939574246111,111.98742260989036,377.2125895971409,,0.5002279036588709,,,,,,,,,,,,,,,
2023-06-21,482.8500061035156,1529.8499755859375,2.623402878287667,105.14081629402068,377.7091898094949,,0.398409751593213,,,,,,,,,,,,,,,
2023-06-22,481.25,1497.800048828125,2.6005319587972044,104.4638252473576,376.7861747526424,,0.353530766114526,,,,,,,,,,,,,,,
2023-06-23,477.7000122070313,1499.449951171875,2.498068124175239,100.4554484588744,377.2445637481569,,0.3187975166524366,,,,,,,,,,,,,,,
2023-06-26,477.1499938964844,1535.6500244140625,2.436715866866997,98.0537641960168,379.0962297004676,,0.3223963853603624,,,,,,,,,,,,,,,
2023-06-27,483.8500061035156,1563.300048828125,2.5615149188861053,103.24750049490058,380.6025056086151,,0.4097320223649664,,,,,,,,,,,,,,,
2023-06-28,485.8999938964844,1583.0999755859375,2.5764199905109524,104.11300142016673,381.78699247631766,,0.4012955293174985,,,,,,,,,,,,,,,
2023-06-30,490.5499877929688,1568.449951171875,2.6884403763422977,108.95870474783948,381.5912830451293,,0.4546988116380311,,,,,,,,,,,,,,,
2023-07-03,493.1499938964844,1582.1500244140625,2.7199926886846244,110.59861846266074,382.5513754338237,,0.4297270794439017,,,,,,,,,,,,,,,
2023-07-04,489.7999877929688,1560.800048828125,2.6430704464482924,107.7114739605363,382.08851383243245,,0.4841043654181845,,,,,,,,,,,,,,,
2023-07-05,499.7000122070313,1559.5,2.864048542959628,117.26025651057722,382.439755696454,,0.615236018047175,,,,,,,,,,,,,,,
2023-07-06,513.5999755859375,1598.699951171875,3.131780086285439,129.13469340157803,384.46528218435947,,0.723893246687693,,,,,,,,,,,,,,,
2023-07-07,502.8500061035156,1581.8499755859375,2.861736353876936,118.68258362437037,384.1674224791453,,0.6336973257324925,,,,,,,,,,,,,,,
2023-07-10,501.5499877929688,1573.699951171875,2.8140501038295693,117.3276328772165,384.22235491575225,,0.6639550262419434,,,,,,,,,,,,,,,
2023-07-11,499.6499938964844,1599.3499755859375,2.7192243258856084,113.98665009522529,385.6633438012591,,0.6692689093170584,,,,,,,,,,,,,,,
2023-07-12,492.3999938964844,1598.75,2.5261636302707595,106.409841787725,385.9901521087594,,0.6186358266171224,,,,,,,,,,,,,,,
2023-07-13,492.0499877929688,1621.4000244140625,2.47547011790242,104.7552887123398,387.29469908062896,,0.5792636852608213,,,,,,,,,,,,,,,
2023-07-14,493.1499938964844,1666.0999755859375,2.4383142730762457,103.57748113432842,389.572512762156,,0.6057239291095766,,,,,,,,,,,,,,,
2023-07-17,498.0499877929688,1625.25,2.572303581887256,109.84220089110386,388.2077869018649,,0.6638251494897719,,,,,,,,,,,,,,,
2023-07-18,494.7999877929688,1607.6500244140625,2.49328387047089,106.99555798893904,387.8044298040297,,0.6487660988842947,,,,,,,,,,,,,,,
2023-07-19,501.0,1607.5,2.6148856816518333,112.84231372564808,388.15768627435193,,0.7010540432155565,,,,,,,,,,,,,,,
2023-07-20,504.8999938964844,1622.199951171875,2.665945422496721,115.73999328857168,389.1600006079127,,0.7076298340999598,,,,,,,,,,,,,,,
2023-07-21,500.6000061035156,1627.050048828125,2.5406111126975683,110.8584414041178,389.7415646993978,,0.698941804185942,,,,,,,,,,,,,,,
2023-07-24,493.7999877929688,1648.4000244140625,2.3449053266270896,102.77111818860789,391.02886960436086,,0.6348773372924873,,,,,,,,,,,,,,,
2023-07-25,480.0,1651.949951171875,2.0133183558066783,88.48081535647316,391.5191846435269,,0.5808036608225255,,,,,,,,,,,,,,,
2023-07-26,487.6499938964844,1671.300048828125,2.151734126183974,94.92856906955927,392.7214248269251,,0.6303313486091512,,,,,,,,,,,,,,,
2023-07-27,510.7999877929688,1707.050048828125,2.6143732754911437,116.05449611277834,394.7454916801904,,0.7465877860815557,,,,,,,,,,,,,,,
2023-07-28,515.5999755859375,1751.949951171875,2.649385558367173,118.33509673470542,397.2648788512321,,0.7675243088617638,,,,,,,,,,,,,,,
2023-07-31,518.75,1740.5,2.702905305897277,121.54527569496156,397.2047243050384,,0.7748577238632925,,,,,,,,,,,,,,,
2023-08-01,499.7000122070313,1692.0,2.3104281444683186,104.3695288771703,395.33048332986095,,0.6688833103654934,,,,,,,,,,,,,,,
2023-08-02,493.6000061035156,1659.800048828125,2.192575495475446,99.43512984243353,394.1648762610821,,0.6181245648905114,,,,,,,,,,,,,,,
2023-08-03,488.3500061035156,1573.0,2.15294005444832,97.97435676680244,390.3756493367132,,0.6013118108693839,,,,,,,,,,,,,,,
2023-08-04,489.6499938964844,1535.9000244140625,2.20561790383645,100.7122126857451,388.9377812107393,,0.6267350204270805,,,,,,,,,,,,,,,
2023-08-07,489.1499938964844,1561.6500244140625,2.153808848955816,98.6621678612164,390.487826035268,,0.611880752248517,,,,,,,,,,,,,,,
2023-08-08,488.25,1560.4000244140625,2.1219864186901747,97.4990130318718,390.7509869681282,,0.5948823791812765,,,,,,,,,,,,,,,
2023-08-09,485.7000122070313,1526.8499755859375,2.08879174130596,96.23583702073068,389.46417518630057,,0.5752739798918349,,,,,,,,,,,,,,,
2023-08-10,490.6499938964844,1528.3499755859375,2.181000454225805,100.77680972424103,389.8731841722433,,0.6142680507185522,,,,,,,,,,,,,,,
2023-08-11,482.0,1519.949951171875,1.9912762738047285,92.21659542978529,389.7834045702147,,0.4856698113027667,,,,,,,,,,,,,,,
2023-08-14,470.9500122070313,1549.9000244140625,1.7145422380154816,79.40148278333606,391.5485294236952,,0.3938310659178549,,,,,,,,,,,,,,,
2023-08-16,478.0499877929688,1547.5,1.862222930756116,86.27448029508514,391.7755074978836,,0.483171296099996,,,,,,,,,,,,,,,
2023-08-17,477.7000122070313,1547.75,1.8456226574584136,85.59057436066604,392.1094378463652,,0.4412355397625545,,,,,,,,,,,,,,,
2023-08-18,474.0499877929688,1526.0,1.781971140707811,82.65894848700714,391.3910393059616,,0.4170558481104546,,,,,,,,,,,,,,,
2023-08-21,481.8500061035156,1554.0999755859375,1.912337144283542,88.76055420597157,393.08945189754405,,0.4728298697396281,,,,,,,,,,,,,,,
2023-08-22,480.3500061035156,1565.4000244140625,1.8597787694397232,86.38013843190498,393.9698676716106,,0.4946092552887363,,,,,,,,,,,,,,,
2023-08-23,480.7000122070313,1595.3499755859375,1.8273437115604887,84.95909035824388,395.74092184878737,,0.4909328889277473,,,,,,,,,,,,,,,
2023-08-24,483.5499877929688,1612.699951171875,1.861194380423964,86.6364314114299,396.91355638153885,,0.5408164896718494,,,,,,,,,,,,,,,
2023-08-25,475.25,1595.199951171875,1.692606041629008,78.88159267506609,396.3684073249339,,0.51513282123019,,,,,,,,,,,,,,,
2023-08-28,482.3999938964844,1631.5,1.7981766284532887,83.94299406208933,398.4569998343951,,0.5633418804330698,,,,,,,,,,,,,,,
2023-08-29,494.0,1644.5,2.019931000189562,94.5660479720542,399.4339520279458,,0.6245520604104425,,,,,,,,,,,,,,,
2023-08-30,500.0499877929688,1658.8499755859375,2.119273396890809,99.54553846658752,400.5044493263812,,0.628898243492459,,,,,,,,,,,,,,,
2023-08-31,504.1000061035156,1645.800048828125,2.203810170316824,103.86111543133802,400.2388906721776,,0.650346406608797,,,,,,,,,,,,,,,
2023-09-01,503.25,1643.6500244140625,2.173278385561473,102.73571713693804,400.514282863062,,0.6385380571792397,,,,,,,,,,,,,,,
2023-09-04,513.9000244140625,1650.5,2.3733237017201194,112.62672206215764,401.2733023519049,,0.7177319257840319,,,,,,,,,,,,,,,
2023-09-05,521.2999877929688,1659.699951171875,2.4984042138584632,119.13139078025324,402.1685970127155,,0.7623952489749257,,,,,,,,,,,,,,,
2023-09-06,519.0,1644.5,2.44631559159563,117.19618529236402,401.803814707636,,0.7510924572143018,,,,,,,,,,,,,,,
2023-09-07,530.75,1656.3499755859375,2.654334619875827,127.88526524290933,402.8647347570907,,0.8074641627781431,,,,,,,,,,,,,,,
2023-09-08,540.0,1693.25,2.778586466607753,134.71300480564776,405.2869951943522,,0.8263715739544231,,,,,,,,,,,,,,,
2023-09-11,540.8499755859375,1685.949951171875,2.7766877689501546,135.4298992596049,405.4200763263326,,0.7976564928752674,,,,,,,,,,,,,,,
2023-09-12,524.5,1624.199951171875,2.4897877193433318,121.89411178359802,402.605888216402,,0.728866743431107,,,,,,,,,,,,,,,
2023-09-13,529.0,1642.1500244140625,2.5416877209847057,124.93970206595468,404.0602979340453,,0.8292536552102362,,,,,,,,,,,,,,,
2023-09-14,537.3499755859375,1674.199951171875,2.649986401751756,131.04628268819715,406.3036928977404,,0.8850808055451918,,,,,,,,,,,,,,,
2023-09-15,532.4000244140625,1660.8499755859375,2.539935543175337,126.38440312729864,406.0156212867639,,0.8776746822238248,,,,,,,,,,,,,,,
2023-09-18,529.4000244140625,1621.3499755859375,2.500672724683296,125.2112169023202,404.1888075117423,,0.8776476202543457,,,,,,,,,,,,,,,
2023-09-20,522.3499755859375,1588.4000244140625,2.376824308891286,119.6859375076155,402.664038078322,,0.8532498136078237,,,,,,,,,,,,,,,
2023-09-21,516.9000244140625,1553.5999755859375,2.2898069726679906,115.89047870008898,401.0095457139735,,0.8355605882445878,,,,,,,,,,,,,,,
2023-09-22,516.5499877929688,1538.800048828125,2.281963664303087,116.06090627004464,400.4890815229241,,0.8443750835377499,,,,,,,,,,,,,,,
2023-09-25,522.0999755859375,1595.8499755859375,2.307288505278847,117.94550965364044,404.15446593229706,,0.8568401648813889,,,,,,,,,,,,,,,
2023-09-26,520.2999877929688,1572.0999755859375,2.281134847450244,117.20967941193204,403.0903083810367,,0.8560375721960622,,,,,,,,,,,,,,,
2023-09-27,528.7000122070312,1580.3499755859375,2.4143369135871464,124.76844457222272,403.9315676348085,,0.8790189561853812,,,,,,,,,,,,,,,
2023-09-28,520.0999755859375,1537.0999755859375,2.2800296409247958,118.42165717768916,401.67831840824834,,0.8493588389854094,,,,,,,,,,,,,,,
2023-09-29,530.9000244140625,1554.0999755859375,2.447166888892045,127.8102925506775,403.089731863385,,0.885788748068264,,,,,,,,,,,,,,,
2023-10-03,538.75,1555.699951171875,2.57156628636322,135.1524014424371,403.5975985575629,,0.9087734028497336,,,,,,,,,,,,,,,
2023-10-04,525.75,1565.75,2.29379153944475,121.1397847734728,404.6102152265272,,0.8711425673255515,,,,,,,,,,,,,,,
2023-10-05,525.0,1599.3499755859375,2.221776049686426,117.88365532115824,407.11634467884176,,0.8605967174669628,,,,,,,,,,,,,,,
2023-10-06,548.7000122070312,1675.0,2.5514792835530296,136.20177501482436,412.4982371922069,,0.9129206872545584,,,,,,,,,,,,,,,
2023-10-09,540.8499755859375,1630.6500244140625,2.43461738261329,130.71511809151218,410.1348574944253,,0.9012317805251436,,,,,,,,,,,,,,,
2023-10-10,561.75,1722.75,2.679378972812287,144.80611241509382,416.9438875849062,,0.939334883337832,,,,,,,,,,,,,,,
2023-10-11,565.2999877929688,1727.449951171875,2.706261041741625,147.31620110741272,417.983786685556,,0.936576134584308,,,,,,,,,,,,,,,
2023-10-12,567.0499877929688,1701.4000244140625,2.7373996289684555,150.05421007554048,416.99577771742827,,0.9452169868258702,,,,,,,,,,,,,,,
2023-10-13,568.4000244140625,1688.199951171875,2.7458760416133354,151.582117190678,416.8179072233845,,0.9458154678540144,,,,,,,,,,,,,,,
2023-10-16,567.0999755859375,1701.1500244140625,2.673557659384385,148.5251974796921,418.5747781062454,,0.940661005061582,,,,,,,,,,,,,,,
2023-10-17,567.1500244140625,1707.5,2.634217042707694,147.23873431516552,419.911290098897,,0.9318314561927924,,,,,,,,,,,,,,,
2023-10-18,567.3499755859375,1675.9000244140625,2.649913254399228,149.01910096794086,418.33087461799664,,0.9440717807963868,,,,,,,,,,,,,,,
2023-10-19,560.0999755859375,1677.800048828125,2.4908526293761484,140.82644418590718,419.2735314000303,,0.9208052202692436,,,,,,,,,,,,,,,
2023-10-20,552.2000122070312,1649.5,2.366747304471638,134.43185948822736,417.7681527188039,,0.8895434612506543,,,,,,,,,,,,,,,
