Dates,HDFCLIFE.NS Y,HDFCAMC.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HDFCAMC.NS X,Effective Margin of HDFCLIFE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HDFCLIFE.NS X,Effective Investment of HDFCLIFE.NS Y,Multiplier X,Multiplier Y
2022-05-12,547.25,1840.050048828125,0.768349505538576,31.318034679160743,515.9319653208393,,0.0023725334904092,1.0,3601.4998779296875,36.014998779296874,18.07199951171875,17.942999267578124,29.0,6.366793186174909,229.300048828125,636.6793186174908,98.800048828125,130.5,1807.199951171875,1794.2999267578125,1.0,3.0
2022-05-13,550.75,1770.050048828125,1.1024298516327404,44.35819038866771,506.3918096113323,,0.002680276574654,2.0,3840.0499267578125,38.40049926757813,19.118499755859375,19.28199951171875,48.0,8.313690811807568,319.2498779296875,831.3690811807568,199.199951171875,120.0499267578125,1911.8499755859373,1928.199951171875,1.0,4.0
2022-05-16,549.7000122070312,1761.0,1.092103957981055,43.41553626100364,506.2844759460276,,0.003924576113961,,,,,,,,,,,,,,,
2022-05-17,554.8499755859375,1811.4000244140625,1.009436003015909,39.729643410037625,515.1203321758999,,0.0124146113878545,,,,,,,,,,,,,,,
2022-05-18,550.0,1775.0999755859375,1.0067082579923516,39.27673915935878,510.7232608406412,,0.0190170269859269,,,,,,,,,,,,,,,
2022-05-19,528.7000122070312,1706.75,0.7055072208433705,27.26842375856808,501.4315884484632,,0.0123528526169965,,,,,,,,,,,,,,,
2022-05-20,544.7000122070312,1706.800048828125,1.0948301058741674,42.06311295022448,502.6368992568068,,0.0171996856598959,,,,,,,,,,,,,,,
2022-05-23,551.1500244140625,1735.25,1.1291567146642476,43.10171632959248,508.04830808447,,0.0187051039039599,Individual Breakup,,Lot HDFCLIFE.NS Y,Lot  HDFCAMC.NS X,Total Profit,Total Trade,,,,,,,,,
2022-05-24,552.9000244140625,1702.3499755859375,1.2798966319759948,48.548615157627125,504.3514092564354,,0.0059903399777954,Margin of HDFCAMC.NS X,Margin of HDFCLIFE.NS Y,1,1,548.5499267578125,2,,,,,,,,,
2022-05-25,569.0999755859375,1704.4000244140625,1.6707765085104982,63.10134056248376,505.99863502345374,,0.0024558776082923,1,1,,,,,,,,,,,,,
2022-05-26,578.0499877929688,1738.1500244140625,1.760602807037935,65.9630666416997,512.086921151269,,0.0016701979704262,,,,,,,,,,,,,,,
2022-05-27,598.0999755859375,1807.199951171875,2.0182605902856734,74.83133071977909,523.2686448661584,1.0,0.002479015544564,,,,,,,,,,,,,,,
2022-05-30,608.9000244140625,1835.300048828125,2.189767279872831,80.39893783126661,528.5010865827959,,0.0028993460113823,,,,,,,,,,,,,,,
2022-05-31,598.9500122070312,1896.800048828125,1.6784743623875549,60.92445380588333,538.0255584011479,,0.0012588350785147,,,,,,,,,,,,,,,
2022-06-01,607.1500244140625,1854.25,2.0711411549343075,74.31925430120623,532.8307701128563,,0.0031134688360865,,,,,,,,,,,,,,,
2022-06-02,607.9000244140625,1885.050048828125,1.963088112766818,69.81930427920418,538.0807201348583,,0.0018886335066396,,,,,,,,,,,,,,,
2022-06-03,602.7000122070312,1862.050048828125,1.904584350842844,66.94472065341688,535.7552915536144,,0.00101668814976,,,,,,,,,,,,,,,
2022-06-06,606.0999755859375,1858.0,2.0133242080743377,69.91247272042006,536.1875028655174,,0.0007081223209564,,,,,,,,,,,,,,,
2022-06-07,605.2999877929688,1870.8499755859373,1.938460418030971,66.39968569682628,538.9003020961425,,0.0007264756218437,,,,,,,,,,,,,,,
2022-06-08,599.9500122070312,1900.8499755859373,1.6642709849589226,56.119435143653845,543.8305770633774,,0.0012884063998106,,,,,,,,,,,,,,,
2022-06-09,604.9000244140625,1881.0999755859373,1.893925227201892,62.93068466167552,541.969339752387,,0.0032218512963791,,,,,,,,,,,,,,,
2022-06-10,593.0999755859375,1868.3499755859373,1.586146131277158,52.04429113104504,541.0556844548925,,0.005167576949452,,,,,,,,,,,,,,,
2022-06-13,582.0,1813.800048828125,1.463134224976679,47.47530195774891,534.5246980422511,,0.0048648478332284,,,,,,,,,,,,,,,
2022-06-14,572.4000244140625,1820.6500244140625,1.1235934941161636,36.14171785708879,536.2583065569737,,0.002802652179066,,,,,,,,,,,,,,,
2022-06-15,579.75,1829.0,1.30201076610592,41.54651567328574,538.2034843267143,,0.0047267082983454,,,,,,,,,,,,,,,
2022-06-16,570.5499877929688,1784.949951171875,1.1878111003472067,37.53602541069756,533.0139623822712,,0.0037263814841848,,,,,,,,,,,,,,,
2022-06-17,550.7999877929688,1768.25,0.6234106579903426,19.53231846194126,531.2676693310275,,0.0040791421280969,,,,,,,,,,,,,,,
2022-06-20,553.1500244140625,1787.3499755859375,0.6036833205342375,18.74872957664149,534.401294837421,,0.0033882105402025,,,,,,,,,,,,,,,
2022-06-21,564.4500122070312,1855.050048828125,0.6627514042756055,20.452950519904107,543.9970616871271,,0.0024955718315701,,,,,,,,,,,,,,,
2022-06-22,551.7999877929688,1828.5,0.3588838180256533,10.985492734437116,540.8144950585316,,0.0035414276452445,,,,,,,,,,,,,,,
2022-06-23,558.0999755859375,1815.800048828125,0.610043565230267,18.51159517905967,539.5883804068778,,0.0038524977139286,,,,,,,,,,,,,,,
2022-06-24,561.4500122070312,1816.050048828125,0.7086363002637843,21.36558895306257,540.0844232539687,,0.0025990400167071,,,,,,,,,,,,,,,
2022-06-27,558.0,1757.949951171875,0.8387740536864932,25.12065964451881,532.8793403554812,,0.0059675852492358,,,,,,,,,,,,,,,
2022-06-28,565.9500122070312,1750.0999755859375,1.1263778578025792,33.498173293161244,532.45183891387,,0.0087547026813734,,,,,,,,,,,,,,,
2022-06-29,541.25,1744.8499755859375,0.3117952251338398,9.228550697173432,532.0214493028266,,0.0051279339681638,,,,,,,,,,,,,,,
2022-06-30,550.0,1792.3499755859375,0.3886710466803593,11.465911810162538,538.5340881898375,,0.0061476889662764,,,,,,,,,,,,,,,
2022-07-01,565.4500122070312,1834.0999755859373,0.7179916536941656,21.09749692581568,544.3525152812156,,0.0223591629537324,,,,,,,,,,,,,,,
2022-07-04,574.2999877929688,1870.25,0.8476829168193623,24.83859424850607,549.4613935444627,,0.0290290710012154,,,,,,,,,,,,,,,
2022-07-05,564.8499755859375,1862.800048828125,0.5507732685158785,16.103397358408188,548.7465782275293,,0.0274183871586683,,,,,,,,,,,,,,,
2022-07-06,557.4500122070312,1910.9000244140625,0.0772104205885506,2.2552972081896314,555.1947149988416,,0.0239507316900843,,,,,,,,,,,,,,,
2022-07-07,554.5999755859375,1906.0,-0.0009864070286741,-0.0287906184396433,554.6287662043771,0.0,0.0237145887694294,,,,,,,,,,,,,,,
2022-07-08,545.3499755859375,1957.25,-0.5477745748783004,-15.986558860273249,561.3365344462107,,0.026151935450041,,,,,,,,,,,,,,,
2022-07-11,546.6500244140625,1958.75,-0.5099502440297974,-14.872833300241156,561.5228577143037,,0.0273528806629762,,,,,,,,,,,,,,,
2022-07-12,539.75,1917.0999755859373,-0.5577300723887566,-16.253225525092716,556.0032255250927,,0.0288271560751682,,,,,,,,,,,,,,,
2022-07-13,539.5,1906.8499755859373,-0.5175907797323989,-15.082815702250173,554.5828157022502,,0.0255945489435858,,,,,,,,,,,,,,,
2022-07-14,537.1500244140625,1897.699951171875,-0.5537504091952079,-16.13823160257914,553.2882560166416,,0.0280617364945902,,,,,,,,,,,,,,,
2022-07-15,539.9000244140625,1897.9000244140625,-0.4573668024007824,-13.33169839342247,553.231722807485,,0.0279661445492701,,,,,,,,,,,,,,,
2022-07-18,542.75,1930.550048828125,-0.5060192617597932,-14.74798194342145,557.4979819434215,,0.0308931309942301,,,,,,,,,,,,,,,
2022-07-19,535.9000244140625,1931.550048828125,-0.7409417928358298,-21.605221533551912,557.5052459476144,,0.0321307705184015,,,,,,,,,,,,,,,
2022-07-20,525.2000122070312,1921.699951171875,-1.055285969395646,-30.803082399228856,556.0030946062601,,0.034788287121306,,,,,,,,,,,,,,,
2022-07-21,529.0999755859375,1925.050048828125,-0.9284942143311264,-27.122565074899622,556.2225406608371,,0.0353120256051424,,,,,,,,,,,,,,,
2022-07-22,535.0,1901.75,-0.6141265264428266,-17.93460473805908,552.9346047380591,,0.0344997771645739,,,,,,,,,,,,,,,
2022-07-25,526.75,1860.3499755859373,-0.7005260197692691,-20.45139969373963,547.2013996937396,,0.0384977880401735,,,,,,,,,,,,,,,
2022-07-26,522.5499877929688,1862.300048828125,-0.8446572340706373,-24.67191512952286,547.2219029224916,,0.0402670137514859,,,,,,,,,,,,,,,
2022-07-27,521.25,1906.199951171875,-1.079697600683141,-31.58508999495496,552.835089994955,,0.0432305864916004,,,,,,,,,,,,,,,
2022-07-28,531.5999755859375,1945.1500244140625,-0.8993022709215439,-26.325950389547643,557.9259259754851,,0.0423207889186175,,,,,,,,,,,,,,,
2022-07-29,555.5,1947.300048828125,-0.0929689480887925,-2.721420410358405,558.2214204103584,,0.034090551617299,,,,,,,,,,,,,,,
2022-08-01,546.0499877929688,1999.8499755859373,-0.6530742309271524,-19.129054124256758,565.1790419172255,,0.0392213194331304,,,,,,,,,,,,,,,
2022-08-02,538.5,2009.5999755859373,-0.9503098833943848,-27.8600961728564,566.3600961728564,,0.043209657897993,,,,,,,,,,,,,,,
2022-08-03,535.3499755859375,2001.550048828125,-1.0152049862463193,-29.790492957073862,565.1404685430114,,0.0448380040612716,,,,,,,,,,,,,,,
2022-08-04,534.9000244140625,1987.3499755859373,-0.9598829588690632,-28.1903442955886,563.0903687096511,,0.0440312872286237,,,,,,,,,,,,,,,
2022-08-05,539.25,2002.050048828125,-0.8736598240236759,-25.68048739020719,564.9304873902072,,0.0406339191380236,,,,,,,,,,,,,,,
2022-08-08,536.75,2004.699951171875,-0.964669664198726,-28.383115533326645,565.1331155333266,,0.0408467099014051,,,,,,,,,,,,,,,
2022-08-10,540.9000244140625,1984.5,-0.7278315943770319,-21.42171665580895,562.3217410698715,,0.0381923795966367,,,,,,,,,,,,,,,
2022-08-11,541.5499877929688,2027.199951171875,-0.8988160444518624,-26.466391626463743,568.0163794194325,,0.0416923789925077,,,,,,,,,,,,,,,
2022-08-12,544.9500122070312,1956.5,-0.4599871755236553,-13.531271162526537,558.4812833695578,,0.0349113663362568,,,,,,,,,,,,,,,
2022-08-16,570.5999755859375,2181.35009765625,-0.618505173480994,-18.21280984264763,588.8127854285851,,0.0370050123726348,,,,,,,,,,,,,,,
2022-08-17,589.3499755859375,2172.5,0.0569924535445455,1.6774682306887598,587.6725073552487,,0.0284856089624413,,,,,,,,,,,,,,,
2022-08-18,586.75,2181.35009765625,-0.0737879826942156,-2.170533848782725,588.9205338487827,,0.0277679977568693,,,,,,,,,,,,,,,
2022-08-19,576.6500244140625,2157.10009765625,-0.3067745374446485,-9.019651290270076,585.6696757043326,,0.0261654820995811,,,,,,,,,,,,,,,
2022-08-22,566.6500244140625,2103.699951171875,-0.4030411562090454,-11.836719820005328,578.4867442340678,,0.0258267607999318,,,,,,,,,,,,,,,
2022-08-23,565.8499755859375,2158.39990234375,-0.6817442948908817,-20.01396486998669,585.8639404559242,,0.0234056636661689,,,,,,,,,,,,,,,
2022-08-24,566.6500244140625,2114.199951171875,-0.4529792422484601,-13.278005008411128,579.9280294224736,,0.020843548366395,,,,,,,,,,,,,,,
2022-08-25,571.0499877929688,2114.199951171875,-0.3048115240701921,-8.92216407053968,579.9721518635084,,0.0209876904373174,,,,,,,,,,,,,,,
2022-08-26,566.9000244140625,2089.550048828125,-0.3354178233758675,-9.796708734550748,576.6967331486132,,0.020654200792675,,,,,,,,,,,,,,,
2022-08-29,560.9500122070312,2044.550048828125,-0.334534939831702,-9.745993946899716,570.696006153931,,0.0183311804263532,,,,,,,,,,,,,,,
2022-08-30,575.2000122070312,2074.89990234375,0.0100120277824149,0.2911230472006991,574.9088891598306,,0.0169883788906174,,,,,,,,,,,,,,,
2022-09-01,575.5999755859375,2040.699951171875,0.1782966772848837,5.172821052506379,570.4271545334311,,0.0228462807589668,,,,,,,,,,,,,,,
2022-09-02,574.8499755859375,2014.449951171875,0.2699936440028124,7.812341922080577,567.0376336638569,,0.018828424861563,,,,,,,,,,,,,,,
2022-09-05,573.6500244140625,2001.9000244140625,0.2818334777606552,8.133646537319237,565.5163778767433,,0.0232140707469868,,,,,,,,,,,,,,,
2022-09-06,573.5,1972.949951171875,0.4071037467083411,11.735870499151702,561.7641295008483,,0.0277394864603362,,,,,,,,,,,,,,,
2022-09-07,576.9500122070312,2010.0,0.3487600859767567,10.037176454771725,566.9128357522595,,0.0311410937746237,,,,,,,,,,,,,,,
2022-09-08,584.3499755859375,2021.199951171875,0.5481465433843549,15.764347225652044,568.5856283602855,,0.0317186151210288,,,,,,,,,,,,,,,
2022-09-09,575.9500122070312,2015.5,0.279663289928025,8.040272959441722,567.9097392475895,,0.0306372329599513,,,,,,,,,,,,,,,
2022-09-12,578.5499877929688,2037.4000244140625,0.2654447766890226,7.631990294103957,570.9179974988648,,0.0315167659166255,,,,,,,,,,,,,,,
2022-09-13,587.0499877929688,2045.4000244140625,0.519858927324346,14.948357564139997,572.1016302288288,,0.0325495782408745,,,,,,,,,,,,,,,
2022-09-14,576.3499755859375,2031.550048828125,0.2099239992015643,6.034893172497959,570.3150824134395,,0.0313345980763029,,,,,,,,,,,,,,,
2022-09-15,566.75,2009.75,-0.0230001621981021,-0.6610988275573391,567.4110988275573,,0.0307706266486843,,,,,,,,,,,,,,,
2022-09-16,546.75,1944.25,-0.412251239184641,-11.845735583283728,558.5957355832837,,0.0301414080376883,,,,,,,,,,,,,,,
2022-09-19,548.0999755859375,1940.800048828125,-0.3485430730688311,-10.015033992223607,558.1150095781611,,0.0304032349976702,,,,,,,,,,,,,,,
2022-09-20,559.75,1944.3499755859373,0.0387799424283631,1.1142319682658126,558.6357680317342,,0.0301162704806576,,,,,,,,,,,,,,,
2022-09-21,551.4000244140625,1939.8499755859373,-0.2306163182063219,-6.625901819549426,558.0259262336119,,0.0307174692421839,,,,,,,,,,,,,,,
2022-09-22,545.7999877929688,1916.8499755859373,-0.3170698307666758,-9.109188931724477,554.9091767246932,,0.0294355085234734,,,,,,,,,,,,,,,
2022-09-23,539.4500122070312,1886.800048828125,-0.3956360113206619,-11.365875427118112,550.8158876341494,,0.0274093107555312,,,,,,,,,,,,,,,
2022-09-26,522.75,1851.0999755859373,-0.8048467820793561,-23.131031271299435,545.8810312712994,,0.0249355997541501,,,,,,,,,,,,,,,
2022-09-27,520.8499755859375,1861.949951171875,-0.9175848101891264,-26.38500326887288,547.2349788548104,,0.0282310462098122,,,,,,,,,,,,,,,
2022-09-28,514.4500122070312,1859.5999755859373,-1.1253435097631626,-32.36668176617786,546.8166939732091,,0.0312035431029151,,,,,,,,,,,,,,,
2022-09-29,528.0,1867.1500244140625,-0.6918367591591742,-19.8651264256722,547.8651264256722,,0.0298701741796779,,,,,,,,,,,,,,,
2022-09-30,530.4500122070312,1889.5999755859373,-0.712181805671681,-20.43492251709813,550.8849347241294,,0.0280428338990705,,,,,,,,,,,,,,,
2022-10-03,518.7000122070312,1838.4000244140625,-0.8798744365059734,-25.227189749829904,543.9272019568612,,0.0299211759610713,,,,,,,,,,,,,,,
2022-10-04,531.9500122070312,1892.4000244140625,-0.6706835578344023,-19.228839903372545,551.1788521104038,,0.0233340175155253,,,,,,,,,,,,,,,
2022-10-06,529.6500244140625,1911.5999755859373,-0.8400898697432858,-24.07794322381062,553.7279676378731,,0.0228840843863744,,,,,,,,,,,,,,,
2022-10-07,526.8499755859375,1917.4000244140625,-0.9627937345248252,-27.59268425076118,554.4426598366987,,0.0256476952105051,,,,,,,,,,,,,,,
2022-10-10,533.2000122070312,1916.199951171875,-0.7367893518465595,-21.082637378531672,554.2826495855629,,0.024227788651827,,,,,,,,,,,,,,,
2022-10-11,522.5499877929688,1905.550048828125,-1.0588702020377263,-30.261704319248565,552.8116921122173,,0.0247128822739831,,,,,,,,,,,,,,,
2022-10-12,526.5999755859375,1925.0,-1.0086290000399685,-28.8093825209844,555.4093581069219,,0.0231993623038802,,,,,,,,,,,,,,,
2022-10-13,520.6500244140625,1920.199951171875,-1.1919463761747977,-34.03590735308762,554.6859317671501,,0.0261937599974972,,,,,,,,,,,,,,,
2022-10-14,523.0,1896.8499755859373,-0.9993409991182176,-28.500692182260764,551.5006921822608,,0.0232038698943274,,,,,,,,,,,,,,,
2022-10-17,523.75,1914.3499755859373,-1.0564851743134094,-30.09921948547958,553.8492194854796,,0.0201066257669403,,,,,,,,,,,,,,,
2022-10-18,531.25,1934.199951171875,-0.8881646640556198,-25.27790289407289,556.5279028940729,,0.0160467421274196,,,,,,,,,,,,,,,
2022-10-19,531.5499877929688,1960.300048828125,-1.0022686148524318,-28.497277771704148,560.0472655646729,,0.0201858872618402,,,,,,,,,,,,,,,
2022-10-20,537.2000122070312,2035.3499755859373,-1.163224418109264,-33.034851866699,570.2348640737303,,0.0299266009255659,,,,,,,,,,,,,,,
2022-10-21,541.9500122070312,2069.550048828125,-1.162305345968833,-32.943529909423205,574.8935421164545,,0.0380848187219419,,,,,,,,,,,,,,,
2022-10-24,541.5499877929688,2060.64990234375,-1.1347907583818455,-32.129785076036,573.6797728690048,,0.0397435939625881,,,,,,,,,,,,,,,
2022-10-25,533.4500122070312,2060.14990234375,-1.4142168538609592,-40.08219945804683,573.5322116650781,,0.0469734152327822,,,,,,,,,,,,,,,
2022-10-27,533.0,2078.64990234375,-1.5119103661691429,-42.93620535676223,575.9362053567622,,0.0526934428563449,,,,,,,,,,,,,,,
2022-10-28,530.0999755859375,2069.300048828125,-1.5616026421669178,-44.43847836739087,574.5384539533284,,0.0552338755768166,,,,,,,,,,,,,,,
2022-10-31,540.4500122070312,2074.60009765625,-1.2185774222452674,-34.720704139235295,575.1707163462665,,0.0500706275974673,,,,,,,,,,,,,,,
2022-11-01,544.5499877929688,2090.25,-1.1448627383525622,-32.66239565210401,577.2123834450728,,0.0472225088857662,,,,,,,,,,,,,,,
2022-11-02,542.25,2105.85009765625,-1.2946339892286554,-36.99422164885039,579.2442216488504,,0.048574882424494,,,,,,,,,,,,,,,
